Simulation Number,comboID,Your revenue,Perfect foresight strategy,Difference (%)
1,0,70200,96588,27.3
2,1,70566,94884,25.6
3,2,80808,101304,20.2
4,3,106896,112194,4.7
5,4,74502,98070,24.0
6,5,54186,79740,32.0
7,6,118404,120000,1.3
8,7,70296,92784,24.2
9,8,113160,114954,1.6
10,9,56664,77820,27.2
11,10,107982,112656,4.1
12,11,88398,104010,15.0
13,12,79734,98946,19.4
14,13,65826,88380,25.5
15,14,115542,119124,3.0
16,15,106716,111048,3.9
17,16,60972,84276,27.7
18,17,115176,117588,2.1
19,18,114684,120000,4.4
20,19,93168,101460,8.2
21,20,72048,93990,23.3
22,21,68880,91692,24.9
23,22,84216,100056,15.8
24,23,72804,93756,22.3
25,24,52206,75576,30.9
26,25,62688,84360,25.7
27,26,68076,89640,24.1
28,27,95550,103920,8.1
29,28,109278,112386,2.8
30,29,93744,102192,8.3
31,30,70824,91032,22.2
32,31,80424,97326,17.4
33,32,89928,101970,11.8
34,33,116748,120000,2.7
35,34,102216,110490,7.5
36,35,99384,108738,8.6
37,36,68784,90132,23.7
38,37,59532,82416,27.8
39,38,48348,72564,33.4
40,39,114642,118794,3.5
41,40,43194,63672,32.2
42,41,93216,103992,10.4
43,42,99888,106776,6.5
44,43,18624,27732,32.8
45,44,76152,91356,16.6
46,45,66450,84792,21.6
47,46,99330,104880,5.3
48,47,105882,111816,5.3
49,48,100830,107790,6.5
50,49,112338,120000,6.4
51,50,114552,120000,4.5
52,51,110964,118848,6.6
53,52,104568,108210,3.4
54,53,63864,81096,21.2
55,54,93336,99804,6.5
56,55,46380,61464,24.5
57,56,53664,78144,31.3
58,57,61620,83940,26.6
59,58,103764,109002,4.8
60,59,95502,104544,8.6
61,60,116388,120000,3.0
62,61,78696,97020,18.9
63,62,69708,89688,22.3
64,63,35460,50688,30.0
65,64,79920,96516,17.2
66,65,56058,75960,26.2
67,66,49806,71280,30.1
68,67,103434,105792,2.2
69,68,106632,112158,4.9
70,69,97140,105864,8.2
71,70,98490,104484,5.7
72,71,79296,95004,16.5
73,72,92772,101478,8.6
74,73,98910,103806,4.7
75,74,112158,120000,6.5
76,75,73518,87780,16.2
77,76,57954,74604,22.3
78,77,98412,103344,4.8
79,78,109104,115566,5.6
80,79,108372,116196,6.7
81,80,58308,75396,22.7
82,81,27816,35772,22.2
83,82,101364,114042,11.1
84,83,64116,78648,18.5
85,84,90294,103530,12.8
86,85,91896,103044,10.8
87,86,31002,46584,33.4
88,87,113412,118104,4.0
89,88,90756,101520,10.6
90,89,83610,98124,14.8
91,90,61332,81372,24.6
92,91,108762,112758,3.5
93,92,65028,82344,21.0
94,93,92718,100536,7.8
95,94,68814,87228,21.1
96,95,113592,120000,5.3
97,96,110604,115932,4.6
98,97,76932,91200,15.6
99,98,101328,111132,8.8
100,99,110706,117966,6.2
101,100,110598,119520,7.5
102,101,106290,112344,5.4
103,102,105942,115056,7.9
104,103,94854,101118,6.2
105,104,102486,118410,13.4
106,105,110664,120000,7.8
107,106,108576,118938,8.7
108,107,110646,120000,7.8
109,108,92046,99042,7.1
110,109,88950,97548,8.8
111,110,93594,100314,6.7
112,111,90750,103368,12.2
113,112,96624,102672,5.9
114,113,99720,102930,3.1
115,114,108060,115164,6.2
116,115,53556,69144,22.5
117,116,95580,101700,6.0
118,117,53760,68628,21.7
119,118,67356,79584,15.4
120,119,85200,93870,9.2
121,120,79446,97620,18.6
122,121,75990,94392,19.5
123,122,67638,88032,23.2
124,123,102012,106194,3.9
125,124,110616,114138,3.1
126,125,62232,81972,24.1
127,126,90834,101442,10.5
128,127,108312,111252,2.6
129,128,82296,97908,15.9
130,129,112686,120000,6.1
131,130,53976,74508,27.6
132,131,98250,103962,5.5
133,132,70098,83988,16.5
134,133,100650,106254,5.3
135,134,84144,96264,12.6
136,135,78780,94008,16.2
137,136,88362,99222,10.9
138,137,85746,97098,11.7
139,138,47172,61296,23.0
140,139,91956,99390,7.5
141,140,88218,94770,6.9
142,141,29346,39972,26.6
143,142,101544,104622,2.9
144,143,102714,107712,4.6
145,144,69690,83244,16.3
146,145,111084,120000,7.4
147,146,56280,70284,19.9
148,147,90984,98658,7.8
149,148,97842,102228,4.3
150,149,103350,105252,1.8
151,150,102090,108522,5.9
152,151,103386,111576,7.3
153,152,30486,38424,20.7
154,153,100002,111054,10.0
155,154,97962,114648,14.6
156,155,95412,111096,14.1
157,156,97380,101532,4.1
158,157,106224,114204,7.0
159,158,83988,93516,10.2
160,159,89412,98598,9.3
161,160,98388,107874,8.8
162,161,93984,108684,13.5
163,162,72324,81348,11.1
164,163,85716,97800,12.4
165,164,89640,110850,19.1
166,165,21852,33084,33.9
167,166,111942,114264,2.0
168,167,80796,96936,16.7
169,168,47898,69780,31.4
170,169,66894,84804,21.1
171,170,109002,113376,3.9
172,171,78774,94680,16.8
173,172,103890,106368,2.3
174,173,43020,59004,27.1
175,174,101886,108582,6.2
176,175,107778,111228,3.1
177,176,74610,89796,16.9
178,177,105078,112044,6.2
179,178,91008,98340,7.5
180,179,43542,57264,24.0
181,180,106698,107172,0.4
182,181,108702,114516,5.1
183,182,92196,99372,7.2
184,183,103026,111624,7.7
185,184,78234,89496,12.6
186,185,77226,86160,10.4
187,186,104718,105762,1.0
188,187,107676,117156,8.1
189,188,67590,82578,18.2
190,189,106116,115926,8.5
191,190,106602,120000,11.2
192,191,94800,103104,8.1
193,192,83814,94260,11.1
194,193,89856,98760,9.0
195,194,75594,89640,15.7
196,195,104106,109470,4.9
197,196,102276,107544,4.9
198,197,98376,102444,4.0
199,198,94296,100758,6.4
200,199,88674,96276,7.9
