combo_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
46,A,A,A,A,A,A,A,A,A,A,B,C,A,A,D
167,A,A,A,A,A,A,B,A,A,A,A,A,A,A,D
177,A,A,A,A,A,A,B,A,A,A,A,C,A,D,A
266,A,A,A,A,A,B,C,A,A,A,A,A,A,A,D
287,A,A,A,A,B,A,A,A,A,A,A,A,A,A,C
366,A,A,A,B,A,A,A,A,A,A,A,A,A,A,D
410,A,A,A,B,A,A,C,A,A,A,A,A,A,A,D
444,A,A,A,C,A,A,A,A,A,A,A,A,A,D,A
492,A,A,B,A,A,A,A,C,A,A,A,A,A,A,D
566,A,B,A,A,A,A,A,A,A,A,A,A,C,A,A
576,A,B,A,A,A,A,A,A,A,A,C,A,A,A,D
588,A,B,A,A,A,A,A,A,C,A,A,A,A,A,A
