Simulation Number,comboID,Your revenue,Perfect foresight strategy,Difference (%)
1,0,57960,84900,31.7
2,1,94056,107862,12.8
3,2,35952,56856,36.8
4,3,77832,98412,20.9
5,4,118692,120000,1.1
6,5,69702,93780,25.7
7,6,96936,107484,9.8
8,7,102624,109908,6.6
9,8,116220,119700,2.9
10,9,110256,115020,4.1
11,10,55548,81156,31.6
12,11,95166,106782,10.9
13,12,107598,111726,3.7
14,13,119136,120000,0.7
15,14,79206,98598,19.7
16,15,59340,82008,27.6
17,16,116112,120000,3.2
18,17,93744,104868,10.6
19,18,77040,94212,18.2
20,19,93840,103458,9.3
21,20,99282,108666,8.6
22,21,44124,68352,35.4
23,22,89916,102678,12.4
24,23,62412,85356,26.9
25,24,111288,113124,1.6
26,25,92994,105114,11.5
27,26,113982,117438,2.9
28,27,81378,99156,17.9
29,28,87852,101148,13.1
30,29,110118,116796,5.7
31,30,111372,115686,3.7
32,31,115968,120000,3.4
33,32,92088,101970,9.7
34,33,112812,120000,6.0
35,34,74136,88056,15.8
36,35,117366,120000,2.2
37,36,78936,98460,19.8
38,37,84288,100494,16.1
39,38,96018,105372,8.9
40,39,70260,90576,22.4
41,40,108006,110862,2.6
42,41,44214,64788,31.8
43,42,58524,77970,24.9
44,43,91296,100656,9.3
45,44,106896,112422,4.9
46,45,110682,113940,2.9
47,46,108576,111060,2.2
48,47,110184,117036,5.9
49,48,102732,111156,7.6
50,49,60486,79050,23.5
51,50,83040,97776,15.1
52,51,97644,104622,6.7
53,52,103848,107874,3.7
54,53,100452,105324,4.6
55,54,87660,97674,10.3
56,55,101856,116874,12.8
57,56,114732,120000,4.4
58,57,114918,117978,2.6
59,58,109530,112866,3.0
60,59,97626,106242,8.1
61,60,113562,117084,3.0
62,61,67872,86856,21.9
63,62,61200,82104,25.5
64,63,98370,104808,6.1
65,64,70458,86400,18.5
66,65,58290,78972,26.2
67,66,93264,102774,9.3
68,67,76188,92856,18.0
69,68,111630,120000,7.0
70,69,110988,120000,7.5
71,70,107796,117600,8.3
72,71,108120,110748,2.4
73,72,64722,82116,21.2
74,73,97908,102750,4.7
75,74,88278,98958,10.8
76,75,102618,113544,9.6
77,76,100734,116598,13.6
78,77,105972,107268,1.2
79,78,111960,120000,6.7
80,79,47352,65508,27.7
81,80,105972,113652,6.8
82,81,105096,116466,9.8
83,82,97752,106938,8.6
84,83,69300,81564,15.0
85,84,67806,88854,23.7
86,85,105456,109518,3.7
87,86,98754,105054,6.0
88,87,90030,101658,11.4
89,88,85626,99558,14.0
90,89,102366,106800,4.2
91,90,70188,88842,21.0
92,91,71412,88092,18.9
93,92,87870,98982,11.2
94,93,90132,99654,9.6
95,94,94974,105132,9.7
96,95,70662,88032,19.7
97,96,76464,90816,15.8
98,97,107616,114846,6.3
99,98,83358,94212,11.5
100,99,82692,96996,14.7
101,100,114696,120000,4.4
102,101,55710,75756,26.5
103,102,96498,101754,5.2
104,103,102570,116220,11.7
105,104,92868,100452,7.5
106,105,106698,109836,2.9
107,106,101496,104976,3.3
108,107,110340,119610,7.8
109,108,80892,92004,12.1
110,109,104550,117108,10.7
111,110,91170,101334,10.0
112,111,84654,93864,9.8
113,112,52620,72072,27.0
114,113,104820,106986,2.0
115,114,69816,85212,18.1
116,115,97908,104892,6.7
117,116,76464,88788,13.9
118,117,94572,103986,9.1
119,118,96792,113742,14.9
120,119,80772,87396,7.6
121,120,100992,107916,6.4
122,121,68646,88800,22.7
123,122,90186,101064,10.8
124,123,76494,94632,19.2
125,124,95208,103446,8.0
126,125,52440,73740,28.9
127,126,91614,102060,10.2
128,127,70680,87840,19.5
129,128,86280,98220,12.2
130,129,108606,119220,8.9
131,130,69060,86868,20.5
132,131,98958,103536,4.4
133,132,110268,116610,5.4
134,133,76644,90228,15.1
135,134,114852,120000,4.3
136,135,107220,108096,0.8
137,136,62298,80028,22.2
138,137,86676,97680,11.3
139,138,112908,120000,5.9
140,139,81534,91476,10.9
141,140,97350,108678,10.4
142,141,107046,109260,2.0
143,142,108558,119580,9.2
144,143,47670,62568,23.8
145,144,86436,94728,8.8
146,145,80436,89370,10.0
147,146,59850,73938,19.1
148,147,99354,116598,14.8
149,148,36204,48780,25.8
150,149,87594,98334,10.9
151,150,69990,84336,17.0
152,151,96642,101028,4.3
153,152,98448,110112,10.6
154,153,107490,120000,10.4
155,154,93594,105684,11.4
156,155,68778,78846,12.8
157,156,92772,99414,6.7
158,157,81612,92916,12.2
159,158,76500,88536,13.6
160,159,79224,90300,12.3
161,160,97320,104262,6.7
162,161,103104,120000,14.1
163,162,94344,112644,16.2
164,163,92892,110304,15.8
165,164,92376,115776,20.2
166,165,84762,100050,15.3
167,166,79518,96948,18.0
168,167,98160,104298,5.9
169,168,108606,109620,0.9
170,169,106914,109446,2.3
171,170,90348,100590,10.2
172,171,98016,104058,5.8
173,172,58968,78804,25.2
