Simulation Number,comboID,Your revenue,Perfect foresight strategy,Difference (%)
154,153,108000,120000,10.0
155,154,99618,120000,17.0
156,155,89118,101268,12.0
157,156,74136,88464,16.2
158,157,91908,98142,6.4
159,158,65448,80130,18.3
160,159,96624,103494,6.6
161,160,69336,81216,14.6
162,161,92304,101634,9.2
163,162,71424,81408,12.3
164,163,87576,101784,14.0
165,164,84552,92016,8.1
166,165,112518,116454,3.4
167,166,83784,99234,15.6
168,167,104598,107700,2.9
169,168,68010,86628,21.5
170,169,88080,98400,10.5
171,170,109794,113724,3.5
172,171,110178,114798,4.0
173,172,33054,45972,28.1
174,173,104718,108576,3.6
175,174,80748,93024,13.2
176,175,108174,109086,0.8
177,176,110010,116256,5.4
178,177,104790,109704,4.5
179,178,68028,82992,18.0
180,179,69954,83352,16.1
181,180,80286,93336,14.0
182,181,85320,97332,12.3
183,182,102378,107400,4.7
184,183,58998,76536,22.9
185,184,101916,113736,10.4
186,185,94992,104742,9.3
187,186,88050,98220,10.4
188,187,105108,108660,3.3
189,188,108876,117342,7.2
190,189,99732,106866,6.7
191,190,62382,78228,20.3
192,191,58560,73872,20.7
193,192,88350,98712,10.5
194,193,99714,102540,2.8
195,194,104028,107070,2.8
196,195,105750,115122,8.1
197,196,72660,85116,14.6
198,197,100110,112866,11.3
199,198,105414,120000,12.2
200,199,71514,81276,12.0
201,200,88608,97836,9.4
202,201,103542,107976,4.1
203,202,105012,115452,9.0
204,203,67752,80004,15.3
205,204,95292,100944,5.6
206,205,99102,109800,9.7
207,206,98592,110742,11.0
208,207,98832,119520,17.3
209,208,93780,110652,15.2
210,209,82632,86280,4.2
211,210,104124,109122,4.6
212,211,105396,111846,5.8
213,212,78096,87516,10.8
214,213,100296,108600,7.6
215,214,84204,89664,6.1
216,215,97836,115002,14.9
217,216,51864,63972,18.9
218,217,73548,82104,10.4
219,218,90912,114828,20.8
220,219,82536,93444,11.7
221,220,79434,97062,18.2
222,221,54090,76020,28.8
223,222,78588,95112,17.4
224,223,53778,74820,28.1
225,224,93396,101130,7.6
226,225,76686,93012,17.6
