Simulation Number,comboID,Your revenue,Perfect foresight strategy,Difference (%)
406,408,86808,103464,16.1
407,409,101286,102714,1.4
408,410,87264,95808,8.9
409,411,95118,97914,2.9
410,412,81882,89616,8.6
411,413,96234,109728,12.3
412,414,93162,100446,7.3
413,415,87738,97638,10.1
414,416,46368,54156,14.4
415,417,88866,109614,18.9
416,418,85422,104550,18.3
417,419,102552,120000,14.5
418,420,103182,117534,12.2
419,421,102138,111552,8.4
420,422,100890,109326,7.7
421,423,97986,110598,11.4
422,424,95406,107568,11.3
423,425,92424,108516,14.8
424,426,62952,71532,12.0
425,427,82560,85812,3.8
426,428,81060,86436,6.2
427,429,86196,107832,20.1
428,430,102936,120000,14.2
429,431,91746,93900,2.3
430,432,101748,120000,15.2
431,433,84636,87684,3.5
432,434,95172,103038,7.6
433,435,88608,94482,6.2
434,436,86376,89364,3.3
435,437,89220,105930,15.8
436,438,86004,99798,13.8
437,439,83172,101334,17.9
438,440,81018,92712,12.6
439,441,79212,100866,21.5
440,442,101220,120000,15.7
441,443,76632,84792,9.6
442,444,65688,76236,13.8
443,445,97980,108618,9.8
444,446,94620,102186,7.4
445,447,95544,108366,11.8
446,448,89412,103698,13.8
447,449,78612,82356,4.5
448,450,81552,84636,3.6
449,451,88044,114996,23.4
450,452,82368,97020,15.1
451,453,79944,110736,27.8
452,454,82056,120000,31.6
453,455,55644,76164,26.9
454,456,77190,92952,17.0
455,457,100110,104874,4.5
456,458,85524,97614,12.4
457,459,107316,110046,2.5
458,460,92376,99450,7.1
459,461,107952,114174,5.4
460,462,40470,54492,25.7
461,463,26064,35004,25.5
462,464,108126,117252,7.8
463,465,106176,112392,5.5
464,466,100824,102942,2.1
465,467,95634,99078,3.5
466,468,98520,101814,3.2
467,469,105588,118062,10.6
468,470,107244,118998,9.9
469,471,74418,86484,14.0
470,472,44760,57276,21.9
471,473,105960,115890,8.6
472,474,109644,120000,8.6
473,475,95448,108552,12.1
474,476,102486,105024,2.4
475,477,102294,104730,2.3
476,478,40650,52704,22.9
477,479,97884,106212,7.8
478,480,96120,103824,7.4
479,481,90216,99918,9.7
480,482,96390,112230,14.1
481,483,106344,120000,11.4
482,484,58950,74484,20.9
483,485,84954,92208,7.9
484,486,62760,75156,16.5
485,487,59970,73020,17.9
486,488,93828,104052,9.8
487,489,90276,100110,9.8
488,490,90930,108654,16.3
489,491,101790,112086,9.2
490,492,60966,74916,18.6
491,493,103530,114444,9.5
492,494,51324,63468,19.1
493,495,98226,109170,10.0
494,496,90420,95940,5.8
495,497,93990,108522,13.4
496,498,23214,26952,13.9
497,499,89658,107766,16.8
498,500,47622,60828,21.7
499,501,54324,69264,21.6
500,502,103026,110694,6.9
501,503,103554,120000,13.7
502,504,102408,117714,13.0
503,505,96204,108594,11.4
504,506,41568,48840,14.9
505,507,89112,104190,14.5
506,508,86754,105210,17.5
507,509,86478,110292,21.6
508,510,98034,99198,1.2
509,511,101886,114528,11.0
510,512,103608,120000,13.7
511,513,102150,115926,11.9
512,514,80454,86016,6.5
513,515,87096,93132,6.5
514,516,94374,111978,15.7
515,517,88710,101568,12.7
516,518,85842,100236,14.4
517,519,87288,111384,21.6
518,520,81384,94836,14.2
519,521,88554,92508,4.3
520,522,72162,81672,11.6
521,523,90840,92436,1.7
522,524,58752,69300,15.2
523,525,94662,103638,8.7
524,526,98844,113868,13.2
525,527,95844,116046,17.4
526,528,87750,99852,12.1
527,529,82110,89724,8.5
528,530,83730,98508,15.0
529,531,82974,102954,19.4
530,533,99612,114318,12.9
531,534,98952,101052,2.1
532,535,78156,83436,6.3
533,536,94518,101700,7.1
534,537,77784,82980,6.3
535,538,58572,67152,12.8
536,539,90054,102504,12.1
537,540,90234,105024,14.1
538,541,87486,107304,18.5
539,542,82194,99180,17.1
540,543,82854,105888,21.8
541,544,85446,120000,28.8
542,545,78798,107610,26.8
543,546,98016,98382,0.4
544,547,90012,91836,2.0
545,548,93096,95004,2.0
546,549,96264,103260,6.8
547,550,60156,68652,12.4
548,551,93372,100806,7.4
549,552,88416,99174,10.8
550,553,83880,88512,5.2
551,554,63156,68316,7.6
552,555,85632,111216,23.0
553,559,76752,102834,25.4
554,560,74136,90504,18.1
555,561,91452,100332,8.9
556,562,108654,112524,3.4
557,563,94356,101244,6.8
558,564,51990,70452,26.2
559,565,28074,37308,24.8
560,566,106056,107412,1.3
561,567,107052,113760,5.9
562,568,98820,102564,3.7
563,569,98226,102774,4.4
564,570,101340,103056,1.7
565,571,105930,108660,2.5
566,572,103980,110340,5.8
567,573,100086,103500,3.3
568,574,106182,120000,11.5
569,575,69792,83928,16.8
570,576,59982,74976,20.0
571,577,98892,102666,3.7
572,578,96510,104958,8.0
573,579,90348,93834,3.7
574,580,102948,115914,11.2
575,581,92910,98892,6.0
576,582,105546,116598,9.5
577,583,51288,65676,21.9
578,584,71022,81072,12.4
579,585,36660,45360,19.2
580,586,91902,98472,6.7
581,587,85728,90216,5.0
582,588,101988,102450,0.5
583,589,97752,99822,2.1
584,590,98376,101352,2.9
585,591,101340,109362,7.3
586,592,98334,106404,7.6
587,593,105948,120000,11.7
588,594,93990,108606,13.5
589,595,92814,109578,15.3
590,596,102294,108120,5.4
591,597,102204,111090,8.0
592,598,102408,112590,9.0
593,599,102882,112950,8.9
594,600,97416,110904,12.2
595,601,98898,114354,13.5
596,602,89580,103356,13.3
597,603,85458,90732,5.8
598,604,84084,92796,9.4
599,605,102522,120000,14.6
600,606,92742,96564,4.0
601,607,101712,112998,10.0
602,608,82002,87612,6.4
603,609,75342,82860,9.1
604,610,90330,97290,7.2
605,611,73596,79788,7.8
606,612,86832,99792,13.0
607,613,84630,93528,9.5
608,614,43014,48360,11.1
609,615,100554,109842,8.5
610,616,63930,75864,15.7
611,617,63372,75288,15.8
612,618,95958,102810,6.7
613,619,99390,111156,10.6
614,620,78948,82752,4.6
615,621,86346,92052,6.2
616,622,86490,100440,13.9
617,623,84522,98550,14.2
618,624,86394,106236,18.7
619,625,87576,120000,27.0
620,626,83544,89244,6.4
621,627,94452,96072,1.7
622,628,99960,109914,9.1
623,629,99696,111540,10.6
624,630,89298,92232,3.2
625,631,96006,109938,12.7
626,632,86964,92274,5.8
627,633,90486,105624,14.3
628,634,85980,102168,15.8
629,635,87858,110742,20.7
630,636,84234,105582,20.2
631,637,79656,98424,19.1
632,638,35922,43704,17.8
633,639,98214,114210,14.0
634,640,95514,99318,3.8
635,641,80274,84024,4.5
636,642,65562,74616,12.1
637,643,87978,93732,6.1
638,644,91098,108672,16.2
639,645,87114,100410,13.2
640,646,85998,104940,18.1
641,647,88020,108720,19.0
642,648,85062,114900,26.0
643,649,82680,117462,29.6
644,650,77016,93588,17.7
645,651,98856,119460,17.2
646,652,54966,64956,15.4
647,653,98628,111342,11.4
648,654,92850,98898,6.1
649,655,98094,110544,11.3
650,656,88890,95532,7.0
651,657,28902,32088,9.9
652,658,93114,114888,19.0
653,659,84426,91932,8.2
654,660,83334,99492,16.2
655,661,82512,104166,20.8
656,662,84138,114252,26.4
657,665,97164,106398,8.7
658,666,71964,79356,9.3
659,667,93384,95256,2.0
660,668,87168,87168,0.0
661,669,80952,83112,2.6
662,670,93000,105000,11.4
663,671,82176,82530,0.4
664,672,91284,111504,18.1
665,673,88560,112638,21.4
666,674,87108,110724,21.3
667,675,83856,98544,14.9
668,676,86604,120000,27.8
669,677,76572,91848,16.6
670,679,74520,110508,32.6
