comboID,mean,std,count,ttest_p_value,wilcoxon_p_value,mean_diff_from_best,missing_sim_ratio,tag
596,7.2250000000000005,4.923667332385485,4,,,,0.0,Insufficient Data
395,7.25,3.7063009411901064,4,,,,0.0,Insufficient Data
485,7.25,3.3331666624997918,4,,,,0.0,Insufficient Data
592,7.275,2.3171462333367456,4,,,,0.0,Insufficient Data
250,7.275,3.5593772863615722,4,,,,0.0,Insufficient Data
411,7.275,3.548121568755313,4,,,,0.0,Insufficient Data
241,7.3,3.4127212992957205,4,,,,0.0,Insufficient Data
91,7.3,7.744675590365292,4,,,,0.0,Insufficient Data
294,7.325,3.024758943563382,4,,,,0.0,Insufficient Data
236,7.325,3.377745796632225,4,,,,0.0,Insufficient Data
150,7.425,6.49429236586507,4,,,,0.0,Insufficient Data
389,7.525,3.0706948182238274,4,,,,0.0,Insufficient Data
425,7.55,4.558874130016459,4,,,,0.0,Insufficient Data
195,7.55,2.6197964297504743,4,,,,0.0,Insufficient Data
382,7.6,2.8366647081857708,4,,,,0.0,Insufficient Data
405,7.625,3.7339657202497185,4,,,,0.0,Insufficient Data
608,7.699999999999999,3.320642508109939,4,,,,0.0,Insufficient Data
176,7.725,8.907440709878454,4,,,,0.0,Insufficient Data
171,7.725,8.334416596259151,4,,,,0.0,Insufficient Data
525,7.725,3.4654244569268378,4,,,,0.0,Insufficient Data
48,7.75,6.206179715949794,4,,,,0.0,Insufficient Data
314,7.75,2.86879765755621,4,,,,0.0,Insufficient Data
212,7.775,3.119161212035484,4,,,,0.0,Insufficient Data
575,7.8,8.175981082822211,4,,,,0.0,Insufficient Data
126,7.825,7.099471811339207,4,,,,0.0,Insufficient Data
336,7.825,3.1637267054324822,4,,,,0.0,Insufficient Data
403,7.85,2.713546265191241,4,,,,0.0,Insufficient Data
134,7.875,2.4281337140555777,4,,,,0.0,Insufficient Data
470,7.8999999999999995,6.903622237637282,4,,,,0.0,Insufficient Data
188,7.8999999999999995,3.9471508711981107,4,,,,0.0,Insufficient Data
524,7.9,1.7720045146669352,4,,,,0.0,Insufficient Data
546,7.9,6.08111831820431,4,,,,0.0,Insufficient Data
513,7.925,3.7562170686299092,4,,,,0.0,Insufficient Data
640,7.925000000000001,3.4663862066038362,4,,,,0.0,Insufficient Data
667,7.95,5.100653552895616,4,,,,0.0,Insufficient Data
346,7.95,3.6737809769591148,4,,,,0.0,Insufficient Data
213,7.975,2.397741993348464,4,,,,0.0,Insufficient Data
619,7.975,4.8862903447639425,4,,,,0.0,Insufficient Data
275,8.025,4.095017297480765,4,,,,0.0,Insufficient Data
484,8.025,2.7837325063063565,4,,,,0.0,Insufficient Data
331,8.025,5.445104835231978,4,,,,0.0,Insufficient Data
491,8.05,6.524568951279464,4,,,,0.0,Insufficient Data
141,8.05,10.447487736293354,4,,,,0.0,Insufficient Data
175,8.075,8.661552978536816,4,,,,0.0,Insufficient Data
600,8.1,7.090839160494335,4,,,,0.0,Insufficient Data
457,8.1,11.071886319262253,4,,,,0.0,Insufficient Data
265,8.100000000000001,4.400757510550504,4,,,,0.0,Insufficient Data
615,8.125,5.457334514211127,4,,,,0.0,Insufficient Data
618,8.125,3.377745796632225,4,,,,0.0,Insufficient Data
332,8.149999999999999,10.041746196088939,4,,,,0.0,Insufficient Data
467,8.175,4.484324549658139,4,,,,0.0,Insufficient Data
668,8.175,2.596632434519757,4,,,,0.0,Insufficient Data
487,8.2,3.765634076752545,4,,,,0.0,Insufficient Data
437,8.200000000000001,4.27551166528639,4,,,,0.0,Insufficient Data
599,8.225,4.621237208078951,4,,,,0.0,Insufficient Data
227,8.25,7.118754572723143,4,,,,0.0,Insufficient Data
494,8.25,3.6792209320271416,4,,,,0.0,Insufficient Data
156,8.25,5.777254249785677,4,,,,0.0,Insufficient Data
159,8.3,3.443835071544514,4,,,,0.0,Insufficient Data
354,8.325,4.292920528808643,4,,,,0.0,Insufficient Data
120,8.325,2.768122107133281,4,,,,0.0,Insufficient Data
157,8.325,3.2978528368217597,4,,,,0.0,Insufficient Data
466,8.35,8.41764020772251,4,,,,0.0,Insufficient Data
202,8.35,2.7742866951104146,4,,,,0.0,Insufficient Data
383,8.375,2.8500000000000005,4,,,,0.0,Insufficient Data
521,8.375,8.665400548541692,4,,,,0.0,Insufficient Data
299,8.375,4.140350226732034,4,,,,0.0,Insufficient Data
666,8.375,7.0206243786907345,4,,,,0.0,Insufficient Data
53,8.425,3.822193959843831,4,,,,0.0,Insufficient Data
165,8.425,4.976863135215462,4,,,,0.0,Insufficient Data
365,8.45,4.31161222746202,4,,,,0.0,Insufficient Data
233,8.5,4.4788391353117385,4,,,,0.0,Insufficient Data
497,8.525,1.3175102782647783,4,,,,0.0,Insufficient Data
584,8.55,2.7766886753829643,4,,,,0.0,Insufficient Data
279,8.55,0.7416198487095655,4,,,,0.0,Insufficient Data
474,8.55,2.9126162351626985,4,,,,0.0,Insufficient Data
189,8.6,3.146426544510455,4,,,,0.0,Insufficient Data
465,8.6,6.030478145774734,4,,,,0.0,Insufficient Data
33,8.625,4.8856081163624525,4,,,,0.0,Insufficient Data
387,8.625,6.730713186579859,4,,,,0.0,Insufficient Data
476,8.649999999999999,5.276678248039512,4,,,,0.0,Insufficient Data
544,8.675,5.490825681686377,4,,,,0.0,Insufficient Data
322,8.675,9.399778366181476,4,,,,0.0,Insufficient Data
298,8.7,6.093165570265317,4,,,,0.0,Insufficient Data
341,8.7,3.3536050254415275,4,,,,0.0,Insufficient Data
626,8.7,5.071488933242386,4,,,,0.0,Insufficient Data
549,8.7,3.983298465677241,4,,,,0.0,Insufficient Data
481,8.725,3.1731950249971503,4,,,,0.0,Insufficient Data
52,8.725,6.934154598795732,4,,,,0.0,Insufficient Data
135,8.75,13.04492238382429,4,,,,0.0,Insufficient Data
569,8.75,3.11715682420161,4,,,,0.0,Insufficient Data
522,8.75,6.12181890181886,4,,,,0.0,Insufficient Data
586,8.775,2.5316332014465814,4,,,,0.0,Insufficient Data
82,8.799999999999999,2.3832750575625967,4,,,,0.0,Insufficient Data
593,8.875,4.423705083599795,4,,,,0.0,Insufficient Data
611,8.925,7.030587931792524,4,,,,0.0,Insufficient Data
342,8.95,4.568369512200167,4,,,,0.0,Insufficient Data
249,8.95,6.814934580268055,4,,,,0.0,Insufficient Data
490,8.975,4.748596283815529,4,,,,0.0,Insufficient Data
292,8.975,8.008901297930946,4,,,,0.0,Insufficient Data
641,8.975,5.815711478400558,4,,,,0.0,Insufficient Data
572,9.0,7.58023746329889,4,,,,0.0,Insufficient Data
234,9.0,2.3986107090008026,4,,,,0.0,Insufficient Data
479,9.0,4.752543178832431,4,,,,0.0,Insufficient Data
80,9.025,3.5207716957129342,4,,,,0.0,Insufficient Data
184,9.025,1.6378339354159204,4,,,,0.0,Insufficient Data
318,9.05,2.8017851452243794,4,,,,0.0,Insufficient Data
262,9.05,2.4745369937289956,4,,,,0.0,Insufficient Data
442,9.075,7.404671948619105,4,,,,0.0,Insufficient Data
276,9.1,4.569463863518345,4,,,,0.0,Insufficient Data
471,9.100000000000001,7.496221270302347,4,,,,0.0,Insufficient Data
665,9.125,6.860697243478003,4,,,,0.0,Insufficient Data
601,9.125,3.4471002306286365,4,,,,0.0,Insufficient Data
583,9.149999999999999,8.040107793638922,4,,,,0.0,Insufficient Data
68,9.15,7.654410493303844,4,,,,0.0,Insufficient Data
659,9.15,7.7792458931869914,4,,,,0.0,Insufficient Data
629,9.175,5.03810480240338,4,,,,0.0,Insufficient Data
214,9.175,2.865164335019314,4,,,,0.0,Insufficient Data
70,9.175,0.8381527307120105,4,,,,0.0,Insufficient Data
47,9.2,4.720875624994443,4,,,,0.0,Insufficient Data
396,9.2,4.373404470966144,4,,,,0.0,Insufficient Data
628,9.2,4.0257504476391315,4,,,,0.0,Insufficient Data
377,9.2,2.9473151624260794,4,,,,0.0,Insufficient Data
119,9.2,1.8672618098881228,4,,,,0.0,Insufficient Data
108,9.2,2.4399453545793466,4,,,,0.0,Insufficient Data
445,9.25,4.126742056392669,4,,,,0.0,Insufficient Data
244,9.25,4.843208303043207,4,,,,0.0,Insufficient Data
114,9.3,6.075634397602717,4,,,,0.0,Insufficient Data
642,9.3,4.852490769354092,4,,,,0.0,Insufficient Data
421,9.325,7.864424115386114,4,,,,0.0,Insufficient Data
579,9.325,5.876152369252066,4,,,,0.0,Insufficient Data
578,9.35,8.239134258727267,4,,,,0.0,Insufficient Data
590,9.35,4.024508251534176,4,,,,0.0,Insufficient Data
98,9.35,2.436527583809933,4,,,,0.0,Insufficient Data
302,9.375,5.982404756171774,4,,,,0.0,Insufficient Data
153,9.375,1.1026483271348726,4,,,,0.0,Insufficient Data
423,9.375,4.5587827322652705,4,,,,0.0,Insufficient Data
602,9.4,1.745470328211473,4,,,,0.0,Insufficient Data
304,9.4,4.080032679607685,4,,,,0.0,Insufficient Data
500,9.425,8.552338861387568,4,,,,0.0,Insufficient Data
670,9.425,6.954315207121401,4,,,,0.0,Insufficient Data
565,9.425,8.125012820502706,4,,,,0.0,Insufficient Data
631,9.425,5.606766745044182,4,,,,0.0,Insufficient Data
66,9.425,6.316842565712716,4,,,,0.0,Insufficient Data
187,9.425,9.06472099221298,4,,,,0.0,Insufficient Data
97,9.45,3.905978323885921,4,,,,0.0,Insufficient Data
197,9.5,1.5253414918196733,4,,,,0.0,Insufficient Data
181,9.5,4.815945736128402,4,,,,0.0,Insufficient Data
