game_number,agent_revenue,optimal_revenue,lift_tier
1,74868,75600,2
2,75072,75948,2
3,75972,99786,2
4,75102,95040,2
5,75072,113460,2
6,75300,90984,2
7,75444,101256,2
8,75348,85776,2
9,76758,111624,2
10,79680,108636,2
11,74868,83124,2
12,77472,111804,2
13,75120,112650,2
14,78708,114000,2
15,73638,74478,2
16,80208,112794,2
17,79770,114366,2
18,75024,120000,2
19,79620,111198,2
20,75036,89610,2
21,75360,120000,2
22,79266,112104,2
23,79380,107370,2
24,76092,97020,2
25,79068,100590,2
26,74640,93576,2
27,80220,108738,2
28,79554,116172,2
29,71766,73224,2
30,78972,101004,2
31,78858,115338,2
32,75168,96936,2
33,75096,92352,2
34,75138,92994,2
35,75666,103728,2
36,75990,104658,2
37,75060,84888,2
38,75744,99084,2
39,75990,99060,2
40,79746,103656,2
41,76032,96984,2
42,75558,95940,2
43,75984,103206,2
44,75372,101046,2
45,76518,106962,2
46,79104,113172,2
47,75120,119340,2
48,80046,111402,2
49,76488,101100,2
50,75024,116208,2
51,75372,82740,2
52,79188,101202,2
53,76134,98940,2
54,75684,106212,2
55,75852,105798,2
56,75522,96564,2
57,76128,111702,2
58,79206,102684,2
59,79428,109200,2
60,75858,86100,2
61,79644,101262,2
62,75228,91476,2
63,78918,103506,2
64,79200,110046,2
65,75894,96060,2
66,75744,81432,2
67,78582,99702,2
68,79602,106812,2
69,79650,114312,2
70,76380,107460,2
71,79278,108678,2
72,75564,98220,2
73,75072,120000,2
74,82236,114834,2
75,75414,108864,2
76,75216,89724,2
77,75162,96924,2
78,74928,82704,2
79,79854,110652,2
80,74838,78744,2
81,81642,112998,2
82,74844,75876,2
83,76206,98250,2
84,75666,93036,2
85,74802,79164,2
86,75270,85572,2
87,59022,61800,2
88,75024,96252,2
89,79404,103644,2
90,76530,101040,2
91,79398,101112,2
92,63252,66912,2
93,75936,101724,2
94,76530,108570,2
95,54396,57900,2
96,78516,98604,2
97,80046,115326,2
98,75024,114960,2
99,75552,92208,2
100,74682,77928,2
