Simulation Number,comboID,Week,Price,Sales,Remaining Inventory
1,0,1,60,85,1915
1,0,2,60,60,1855
1,0,3,60,71,1784
1,0,4,60,68,1716
1,0,5,60,95,1621
1,0,6,60,52,1569
1,0,7,60,84,1485
1,0,8,60,36,1449
1,0,9,60,82,1367
1,0,10,60,92,1275
1,0,11,60,70,1205
1,0,12,60,81,1124
1,0,13,60,95,1029
1,0,14,60,46,983
1,0,15,60,85,898
2,1,1,60,39,1961
2,1,2,60,46,1915
2,1,3,60,23,1892
2,1,4,60,53,1839
2,1,5,60,55,1784
2,1,6,60,55,1729
2,1,7,60,23,1706
2,1,8,60,38,1668
2,1,9,60,42,1626
2,1,10,60,45,1581
2,1,11,60,43,1538
2,1,12,60,44,1494
2,1,13,60,44,1450
2,1,14,60,34,1416
2,1,15,54,27,1389
3,2,1,60,110,1890
3,2,2,60,117,1773
3,2,3,60,87,1686
3,2,4,60,130,1556
3,2,5,60,93,1463
3,2,6,60,94,1369
3,2,7,60,114,1255
3,2,8,60,60,1195
3,2,9,60,122,1073
3,2,10,60,94,979
3,2,11,60,113,866
3,2,12,60,97,769
3,2,13,60,88,681
3,2,14,60,138,543
3,2,15,48,176,367
4,3,1,60,113,1887
4,3,2,60,114,1773
4,3,3,60,96,1677
4,3,4,60,164,1513
4,3,5,60,121,1392
4,3,6,60,149,1243
4,3,7,60,144,1099
4,3,8,60,121,978
4,3,9,60,94,884
4,3,10,60,113,771
4,3,11,60,111,660
4,3,12,60,98,562
4,3,13,60,136,426
4,3,14,60,102,324
4,3,15,36,236,88
5,4,1,60,75,1925
5,4,2,60,106,1819
5,4,3,60,74,1745
5,4,4,60,36,1709
5,4,5,60,87,1622
5,4,6,60,83,1539
5,4,7,60,84,1455
5,4,8,60,69,1386
5,4,9,60,112,1274
5,4,10,60,75,1199
5,4,11,60,77,1122
5,4,12,60,50,1072
5,4,13,60,73,999
5,4,14,54,50,949
5,4,15,54,119,830
6,5,1,60,93,1907
6,5,2,60,94,1813
6,5,3,60,60,1753
6,5,4,60,99,1654
6,5,5,60,80,1574
6,5,6,60,95,1479
6,5,7,60,130,1349
6,5,8,60,144,1205
6,5,9,60,76,1129
6,5,10,60,116,1013
6,5,11,60,98,915
6,5,12,60,79,836
6,5,13,60,109,727
6,5,14,54,82,645
6,5,15,48,170,475
7,6,1,60,84,1916
7,6,2,60,72,1844
7,6,3,60,116,1728
7,6,4,60,78,1650
7,6,5,60,68,1582
7,6,6,60,141,1441
7,6,7,60,109,1332
7,6,8,60,53,1279
7,6,9,60,53,1226
7,6,10,60,98,1128
7,6,11,60,110,1018
7,6,12,60,81,937
7,6,13,60,23,914
7,6,14,54,116,798
7,6,15,36,327,471
8,7,1,60,113,1887
8,7,2,60,129,1758
8,7,3,60,82,1676
8,7,4,60,99,1577
8,7,5,60,117,1460
8,7,6,60,73,1387
8,7,7,60,67,1320
8,7,8,60,170,1150
8,7,9,60,78,1072
8,7,10,60,118,954
8,7,11,60,101,853
8,7,12,60,145,708
8,7,13,60,116,592
8,7,14,48,211,381
8,7,15,48,134,247
9,8,1,60,55,1945
9,8,2,60,60,1885
9,8,3,60,75,1810
9,8,4,60,44,1766
9,8,5,60,96,1670
9,8,6,60,36,1634
9,8,7,60,45,1589
9,8,8,60,91,1498
9,8,9,60,31,1467
9,8,10,60,74,1393
9,8,11,60,57,1336
9,8,12,60,50,1286
9,8,13,60,88,1198
9,8,14,48,115,1083
9,8,15,36,152,931
10,9,1,60,117,1883
10,9,2,60,126,1757
10,9,3,60,102,1655
10,9,4,60,112,1543
10,9,5,60,128,1415
10,9,6,60,112,1303
10,9,7,60,103,1200
10,9,8,60,74,1126
10,9,9,60,101,1025
10,9,10,60,93,932
10,9,11,60,110,822
10,9,12,60,173,649
10,9,13,60,111,538
10,9,14,36,289,249
10,9,15,36,249,0
11,10,1,60,105,1895
11,10,2,60,89,1806
11,10,3,60,108,1698
11,10,4,60,129,1569
11,10,5,60,106,1463
11,10,6,60,66,1397
11,10,7,60,117,1280
11,10,8,60,79,1201
11,10,9,60,112,1089
11,10,10,60,135,954
11,10,11,60,128,826
11,10,12,60,106,720
11,10,13,54,85,635
11,10,14,54,108,527
11,10,15,54,66,461
12,11,1,60,125,1875
12,11,2,60,102,1773
12,11,3,60,156,1617
12,11,4,60,118,1499
12,11,5,60,143,1356
12,11,6,60,121,1235
12,11,7,60,89,1146
12,11,8,60,195,951
12,11,9,60,131,820
12,11,10,60,110,710
12,11,11,60,111,599
12,11,12,60,181,418
12,11,13,54,143,275
12,11,14,54,169,106
12,11,15,48,106,0
13,12,1,60,104,1896
13,12,2,60,141,1755
13,12,3,60,78,1677
13,12,4,60,67,1610
13,12,5,60,88,1522
13,12,6,60,123,1399
