Simulation Number,comboID,Your revenue,Perfect foresight strategy,Difference (%)
198,197,87750,94932,7.6
199,198,97764,113406,13.8
200,199,93132,105138,11.4
201,200,74562,82140,9.2
202,201,61266,77292,20.7
203,202,106956,120000,10.9
204,203,97926,101088,3.1
205,204,50838,63552,20.0
206,205,52782,66636,20.8
207,206,90756,97680,7.1
208,207,49152,61212,19.7
209,208,85962,92064,6.6
210,209,102600,120000,14.5
211,210,73140,88116,17.0
212,211,102012,104454,2.3
213,212,104376,115380,9.5
214,213,98952,107232,7.7
215,214,101856,116622,12.7
216,215,92916,101862,8.8
217,216,97716,120000,18.6
218,217,77160,84348,8.5
219,218,91284,110964,17.7
220,219,89736,111024,19.2
221,220,111504,117762,5.3
222,221,67644,87444,22.6
223,222,107502,111066,3.2
224,223,97662,103458,5.6
225,224,60036,78408,23.4
226,225,86424,97644,11.5
227,226,108426,111630,2.9
228,227,70710,86928,18.7
229,228,101700,105948,4.0
230,229,32202,43764,26.4
231,230,80910,95100,14.9
232,231,79728,92316,13.6
233,232,70290,84372,16.7
234,233,88878,97062,8.4
235,234,110856,120000,7.6
236,235,83874,94920,11.6
237,236,108000,115698,6.7
238,237,52044,69624,25.2
239,238,98712,102936,4.1
240,239,81954,91644,10.6
241,240,97944,105972,7.6
242,241,86034,95616,10.0
243,242,104886,108120,3.0
244,243,97668,103074,5.2
245,244,94824,99684,4.9
246,245,91680,98322,6.8
247,246,56862,71172,20.1
248,247,92334,101826,9.3
249,248,97848,101916,4.0
250,249,101346,103152,1.8
251,250,105288,109536,3.9
252,251,93780,97704,4.0
253,252,96642,103752,6.9
254,253,57750,72060,19.9
255,254,99936,115008,13.1
256,255,89214,105132,15.1
257,256,102150,103302,1.1
258,257,103668,110466,6.2
259,258,30600,39660,22.8
260,259,101016,109854,8.0
261,260,100266,110868,9.6
262,261,49806,60516,17.7
263,262,91998,105042,12.4
264,263,90624,107994,16.1
265,264,87078,104196,16.4
266,265,105192,120000,12.3
267,266,92412,97842,5.5
268,267,54258,69084,21.5
269,268,91668,96108,4.6
270,269,94986,103446,8.2
271,270,51984,63888,18.6
272,271,98184,113244,13.3
273,272,77724,85020,8.6
274,273,87840,104634,16.1
275,274,85782,111144,22.8
276,275,81996,90060,9.0
277,276,103356,120000,13.9
278,277,96456,100002,3.5
279,278,76308,85440,10.7
280,279,95364,104280,8.6
281,280,98124,112194,12.5
282,281,86544,96252,10.1
283,282,87132,97680,10.8
284,283,86520,102798,15.8
285,284,84816,99786,15.0
286,285,82536,101940,19.0
287,286,79062,96480,18.1
288,287,110646,112284,1.5
289,288,53298,74868,28.8
290,289,63762,82476,22.7
291,290,78702,93840,16.1
292,291,109734,115284,4.8
293,292,108300,111654,3.0
294,293,92412,100002,7.6
295,294,94146,100044,5.9
296,295,68196,82734,17.6
297,296,93984,101796,7.7
298,297,108450,114084,4.9
299,298,103152,108522,4.9
300,299,98286,104472,5.9
301,300,85944,95484,10.0
302,301,66282,81720,18.9
303,302,108252,116742,7.3
304,303,100020,103878,3.7
305,304,73566,86712,15.2
306,305,100002,111006,9.9
307,306,70620,81516,13.4
308,307,60852,78000,22.0
309,308,103404,104844,1.4
310,309,48798,63120,22.7
311,310,95934,101994,5.9
312,311,93270,102852,9.3
313,312,94134,104142,9.6
314,313,97320,110760,12.1
315,314,97344,101628,4.2
316,315,100806,102612,1.8
317,316,105486,113712,7.2
318,317,101418,110382,8.1
319,318,99858,107250,6.9
320,319,106980,120000,10.8
321,320,67512,77400,12.8
322,321,95742,114018,16.0
323,322,104370,108774,4.0
324,323,103650,110820,6.5
325,324,64206,77544,17.2
326,325,68178,77814,12.4
327,326,77286,85470,9.6
328,327,84678,91092,7.0
329,328,90540,101700,11.0
330,329,91872,107658,14.7
331,330,93078,118962,21.8
332,331,100878,102444,1.5
333,332,52146,67212,22.4
334,333,101946,111528,8.6
335,334,85848,92340,7.0
336,335,98886,114018,13.3
337,336,80124,84432,5.1
338,337,88200,99252,11.1
339,338,95394,116226,17.9
340,339,89988,108342,16.9
341,340,74148,79248,6.4
342,341,86988,94458,7.9
343,342,74454,84660,12.1
344,343,101346,110898,8.6
345,344,102984,115140,10.6
346,345,19404,23424,17.2
347,346,88536,92148,3.9
348,347,93750,108708,13.8
349,348,90240,107496,16.1
350,349,85446,94224,9.3
351,350,91482,120000,23.8
352,351,82014,106806,23.2
353,352,101448,116880,13.2
354,353,101124,113394,10.8
355,354,84444,89820,6.0
356,355,78048,84408,7.5
357,356,101940,120000,15.0
358,357,100596,116412,13.6
359,358,98244,120000,18.1
360,359,52092,60048,13.2
361,360,87060,107742,19.2
362,361,84012,102186,17.8
363,362,83100,107712,22.8
364,363,82656,111114,25.6
365,364,85236,99264,14.1
366,365,105204,107982,2.6
367,366,110046,113466,3.0
368,367,110658,120000,7.8
369,368,109434,115032,4.9
370,369,104358,109182,4.4
371,370,18984,26832,29.2
372,371,77316,89424,13.5
373,372,93822,99216,5.4
374,373,77478,89724,13.6
375,374,59574,77136,22.8
376,375,106722,111072,3.9
377,376,52530,71748,26.8
378,377,108618,120000,9.5
379,378,100014,109788,8.9
380,379,44556,60312,26.1
381,380,105210,107844,2.4
382,381,95916,99126,3.2
383,382,106434,117180,9.2
384,383,95310,100650,5.3
385,384,100548,116964,14.0
386,385,84120,95664,12.1
387,386,103680,106470,2.6
388,387,95922,99360,3.5
389,388,62658,76908,18.5
390,389,75840,86316,12.1
391,390,100248,113586,11.7
392,391,104604,120000,12.8
393,392,104544,107904,3.1
394,393,105486,114768,8.1
395,394,55848,71832,22.3
396,395,88968,93912,5.3
397,396,67068,77676,13.7
398,397,105522,120000,12.1
399,398,81678,87684,6.8
400,399,57210,67536,15.3
